,index,Unnamed: 0,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_fg%,NBA_g_played,NBA_ppg,NBA_ft%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft_per_g,NBA_fta_p_g,NBA__3ptpg,NBA__3ptapg,NBA__3ptpct,NBA_efgpct,NBA_PER,NBA_vorp,NBA_bpm,NBA_ws_per_48,NBA_ws,NCAA_fgpct,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA__3ptpg,NCAA__3ptapg,NCAA__3ptpct
0,3,3,/players/a/abdulma02.html,Mahmoud Abdul-Rauf,1991,2001,G,LSU,6-1,162.0,"March 9, 1969",0.442,586,14.6,0.905,6.0,13.6,1.8,2.0,0.8,2.3,0.354,0.472,15.4,4.5,-0.8,0.077,25.2,0.474,64.0,29.0,0.863,10.4,21.9,5.5,6.4,2.7,7.2,0.372
1,4,4,/players/a/abdulta01.html,Tariq Abdul-Wahad,1998,2003,F,"Michigan, San Jose State",6-6,223.0,"November 3, 1974",0.417,236,7.8,0.703,3.1,7.3,1.6,2.2,0.1,0.3,0.237,0.422,11.4,-1.2,-3.0,0.035,3.5,0.477,87.0,13.6,0.726,4.9,10.4,3.2,4.4,0.6,1.7,0.322
2,5,5,/players/a/abdursh01.html,Shareef Abdur-Rahim,1997,2008,F,California,6-9,225.0,"December 11, 1976",0.472,830,18.1,0.81,6.5,13.9,4.8,6.0,0.2,0.6,0.297,0.479,19.0,21.9,1.0,0.118,71.2,0.518,28.0,21.1,0.683,7.4,14.2,6.1,8.9,0.3,0.8,0.381
3,10,10,/players/a/achiupr01.html,Precious Achiuwa,2021,2022,F,Memphis,6-8,225.0,"September 19, 1999",0.468,134,7.2,0.556,2.9,6.2,1.0,1.8,0.4,1.2,0.357,0.502,13.1,-0.7,-3.0,0.075,3.8,0.493,31.0,15.8,0.599,5.9,11.9,3.6,6.0,0.4,1.3,0.325
4,11,11,/players/a/ackeral01.html,Alex Acker,2006,2009,G,Pepperdine,6-5,185.0,"January 21, 1983",0.37,30,2.7,0.5,1.1,3.1,0.2,0.3,0.3,0.8,0.32,0.413,8.5,-0.2,-5.3,-0.043,-0.2,0.457,88.0,14.5,0.823,5.1,11.2,2.9,3.5,1.4,3.3,0.411
5,15,15,/players/a/acyqu01.html,Quincy Acy,2013,2019,F-C,Baylor,6-7,240.0,"October 6, 1990",0.444,337,4.9,0.759,1.7,3.9,0.9,1.1,0.5,1.6,0.35,0.513,11.2,-0.1,-2.0,0.078,8.7,0.602,139.0,9.8,0.708,3.6,6.0,2.5,3.6,0.0,0.1,0.429
6,19,19,/players/a/adamsha01.html,Hassan Adams,2007,2009,G,Arizona,6-4,220.0,"June 20, 1984",0.534,73,2.5,0.643,1.1,2.0,0.4,0.6,0.0,0.0,0.0,0.534,11.8,0.0,-2.3,0.072,0.8,0.499,130.0,14.0,0.704,5.8,11.6,1.9,2.7,0.6,1.9,0.311
7,20,20,/players/a/adamsja01.html,Jaylen Adams,2019,2021,G,St. Bonaventure,6-0,225.0,"May 4, 1996",0.331,41,2.7,0.778,1.0,2.9,0.2,0.2,0.6,1.9,0.329,0.436,7.0,-0.3,-4.9,0.001,0.0,0.427,110.0,17.4,0.838,4.8,11.3,5.3,6.3,2.5,6.2,0.394
8,21,21,/players/a/adamsjo01.html,Jordan Adams,2015,2016,G,UCLA,6-5,209.0,"July 8, 1994",0.402,32,3.2,0.607,1.2,2.9,0.5,0.9,0.3,0.8,0.385,0.457,13.1,0.2,1.7,0.07,0.4,0.467,69.0,16.4,0.839,5.4,11.6,4.2,5.0,1.4,4.3,0.331
9,26,26,/players/a/adelde01.html,Deng Adel,2019,2019,F,Louisville,6-7,200.0,"February 1, 1997",0.306,19,1.7,1.0,0.6,1.9,0.2,0.2,0.3,1.2,0.261,0.389,2.7,-0.3,-7.5,-0.054,-0.2,0.438,89.0,11.2,0.776,3.9,9.0,2.2,2.9,1.1,3.3,0.348
10,28,28,/players/a/adrieje01.html,Jeff Adrien,2011,2015,F,UConn,6-7,245.0,"February 10, 1986",0.474,153,4.6,0.628,1.7,3.6,1.2,1.9,0.0,0.0,0.0,0.474,15.0,-0.1,-2.2,0.098,4.4,0.515,133.0,12.1,0.606,4.5,8.8,3.0,4.9,0.0,0.0,0.333
11,29,29,/players/a/afflaar01.html,Arron Afflalo,2008,2018,G-F,UCLA,6-5,210.0,"October 15, 1985",0.45,762,10.8,0.825,3.9,8.7,1.8,2.2,1.1,2.9,0.386,0.514,11.9,2.4,-1.5,0.077,33.5,0.457,104.0,14.8,0.781,5.0,10.9,2.8,3.6,2.0,5.4,0.373
12,30,30,/players/a/agerma01.html,Maurice Ager,2007,2011,G,Michigan State,6-5,202.0,"February 9, 1984",0.339,82,2.1,0.566,0.8,2.3,0.4,0.6,0.1,0.5,0.25,0.368,2.8,-0.9,-9.4,-0.089,-0.9,0.441,124.0,12.5,0.775,4.2,9.6,2.5,3.2,1.6,4.3,0.38
13,32,32,/players/a/ahearbl01.html,Blake Ahearn,2008,2012,G,Missouri State,6-2,190.0,"May 27, 1984",0.273,19,4.6,0.97,1.1,4.1,1.7,1.7,0.7,2.5,0.298,0.364,7.2,-0.2,-6.4,-0.034,-0.2,0.423,129.0,13.0,0.946,3.7,8.9,3.4,3.6,2.1,5.2,0.408
14,38,38,/players/a/akoonde01.html,DeVaughn Akoon-Purcell,2019,2019,G,Illinois State,6-6,200.0,"June 5, 1993",0.3,7,1.0,0.5,0.4,1.4,0.1,0.3,0.0,0.6,0.0,0.3,8.2,0.0,-5.8,-0.051,0.0,0.428,60.0,13.5,0.739,4.6,10.7,3.5,4.7,0.8,2.7,0.301
15,42,42,/players/a/aldamsa01.html,Santi Aldama,2022,2022,F,Loyola (MD),6-11,224.0,"January 10, 2001",0.402,32,4.1,0.625,1.7,4.1,0.6,1.0,0.2,1.5,0.125,0.424,10.2,-0.3,-5.7,0.044,0.3,0.495,27.0,19.0,0.639,7.3,14.7,2.8,4.4,1.7,5.4,0.306
16,48,48,/players/a/alexaco01.html,Cory Alexander,1996,2005,G,Virginia,6-1,185.0,"June 22, 1973",0.389,307,5.5,0.756,1.9,4.9,0.9,1.1,0.8,2.2,0.354,0.468,12.4,0.4,-1.7,0.03,3.0,0.427,85.0,15.1,0.698,5.4,12.6,2.7,3.8,1.7,5.0,0.336
17,49,49,/players/a/alexaco02.html,Courtney Alexander,2001,2003,G,"Virginia, Fresno State",6-5,205.0,"April 27, 1977",0.422,187,9.0,0.813,3.5,8.3,1.8,2.2,0.2,0.6,0.339,0.435,11.5,-1.7,-3.7,0.048,4.1,0.456,112.0,18.9,0.767,7.2,15.8,3.0,3.9,1.5,4.1,0.362
18,51,51,/players/a/alexajo01.html,Joe Alexander,2009,2010,F,West Virginia,6-8,230.0,"December 26, 1986",0.41,67,4.2,0.698,1.5,3.7,0.9,1.3,0.2,0.7,0.34,0.442,9.9,-0.3,-3.6,0.03,0.5,0.447,82.0,12.1,0.765,4.5,10.0,2.5,3.3,0.6,2.1,0.295
19,53,53,/players/a/alexaty01.html,Ty-Shon Alexander,2021,2021,G,Creighton,6-3,195.0,"July 16, 1998",0.25,15,0.6,0.5,0.2,0.8,0.1,0.1,0.1,0.6,0.222,0.333,4.2,-0.1,-6.5,-0.048,0.0,0.418,98.0,12.7,0.813,4.1,9.8,2.4,2.9,2.1,5.8,0.372
